airport_id,origin_codes,station_ids,unique_station_count,usable_assigned_days,minimum_month_usable_days,assignment_gap_days,assignment_ambiguous_days,weather_missing_days,weather_suspect_days,weather_erroneous_days,weather_ambiguous_days,weather_unparsed_days,usable_m01,usable_m02,usable_m03,usable_m04,usable_m05,usable_m06,usable_m07,usable_m08,usable_m09,usable_m10,usable_m11,usable_m12,stage_a_qualified
10135,ABE,USW00014737,1,365,28,0,0,0,0,0,0,0,31,28,31,30,31,30,31,31,30,31,30,31,True
10136,ABI,USW00013962,1,365,28,0,0,0,0,0,0,0,31,28,31,30,31,30,31,31,30,31,30,31,True
10140,ABQ,USW00023050,1,365,28,0,0,0,0,0,0,0,31,28,31,30,31,30,31,31,30,31,30,31,True
10141,ABR,USW00014929,1,365,28,0,0,0,0,0,0,0,31,28,31,30,31,30,31,31,30,31,30,31,True
10146,ABY,USW00013869,1,363,28,0,0,1,0,1,0,0,30,28,31,30,31,30,31,30,30,31,30,31,True
10157,ACV,USW00024283,1,365,28,0,0,0,0,0,0,0,31,28,31,30,31,30,31,31,30,31,30,31,True
10170,ADQ,USW00025501,1,365,28,0,0,0,0,0,0,0,31,28,31,30,31,30,31,31,30,31,30,31,True
10208,AGS,USW00003820,1,342,16,0,0,23,0,0,0,0,31,28,31,30,31,30,27,16,30,31,30,27,False
10245,AKN,USW00025503,1,364,28,0,0,1,0,0,0,0,31,28,30,30,31,30,31,31,30,31,30,31,True
10257,ALB,USW00014735,1,365,28,0,0,0,0,0,0,0,31,28,31,30,31,30,31,31,30,31,30,31,True
10268,ALO,USW00094910,1,365,28,0,0,0,0,0,0,0,31,28,31,30,31,30,31,31,30,31,30,31,True
10275,ALW,USW00024160,1,365,28,0,0,0,0,0,0,0,31,28,31,30,31,30,31,31,30,31,30,31,True
10279,AMA,USC00410213,1,365,28,0,0,0,0,0,0,0,31,28,31,30,31,30,31,31,30,31,30,31,True
10299,ANC,USW00026451,1,365,28,0,0,0,0,0,0,0,31,28,31,30,31,30,31,31,30,31,30,31,True
10333,APN,USW00094849,1,360,27,0,0,5,0,0,0,0,31,28,29,27,31,30,31,31,30,31,30,31,True
10361,ART,USW00094790,1,365,28,0,0,0,0,0,0,0,31,28,31,30,31,30,31,31,30,31,30,31,True
10372,ASE,USW00093073,1,364,28,0,0,1,0,0,0,0,31,28,31,30,31,29,31,31,30,31,30,31,True
10397,ATL,USW00013874,1,365,28,0,0,0,0,0,0,0,31,28,31,30,31,30,31,31,30,31,30,31,True
10408,ATW,USW00004825,1,29,0,0,0,335,0,1,0,0,0,0,2,4,0,0,1,2,8,6,4,2,False
10423,AUS,USW00013904,1,365,28,0,0,0,0,0,0,0,31,28,31,30,31,30,31,31,30,31,30,31,True
10431,AVL,USW00003812,1,365,28,0,0,0,0,0,0,0,31,28,31,30,31,30,31,31,30,31,30,31,True
10434,AVP,USW00014777,1,365,28,0,0,0,0,0,0,0,31,28,31,30,31,30,31,31,30,31,30,31,True
10469,AZO,USW00094815,1,364,28,0,0,1,0,0,0,0,31,28,30,30,31,30,31,31,30,31,30,31,True
10529,BDL,USW00014740,1,365,28,0,0,0,0,0,0,0,31,28,31,30,31,30,31,31,30,31,30,31,True
