month,url,expected_bytes,actual_bytes,expected_sha256,actual_sha256,hash_match,http,final_url,error
1,https://transtats.bts.gov/PREZIP/On_Time_Marketing_Carrier_On_Time_Performance_Beginning_January_2018_2025_1.zip,31599374,31599374,0feaabdbc9e4bd851ef717f342678cdcc5ea0822dd706359aab030bb1a5d1c24,0feaabdbc9e4bd851ef717f342678cdcc5ea0822dd706359aab030bb1a5d1c24,True,200,https://transtats.bts.gov/PREZIP/On_Time_Marketing_Carrier_On_Time_Performance_Beginning_January_2018_2025_1.zip,
2,https://transtats.bts.gov/PREZIP/On_Time_Marketing_Carrier_On_Time_Performance_Beginning_January_2018_2025_2.zip,29442140,29442140,080ad48e2826a6b4c3f39690f75a08dea9ad4e0831ff82958656cdb61693dd15,080ad48e2826a6b4c3f39690f75a08dea9ad4e0831ff82958656cdb61693dd15,True,200,https://transtats.bts.gov/PREZIP/On_Time_Marketing_Carrier_On_Time_Performance_Beginning_January_2018_2025_2.zip,
3,https://transtats.bts.gov/PREZIP/On_Time_Marketing_Carrier_On_Time_Performance_Beginning_January_2018_2025_3.zip,35460382,35460382,ad3f46a598bd529588bfcc004731b893b27999a681804a07a3841b2904d66d48,ad3f46a598bd529588bfcc004731b893b27999a681804a07a3841b2904d66d48,True,200,https://transtats.bts.gov/PREZIP/On_Time_Marketing_Carrier_On_Time_Performance_Beginning_January_2018_2025_3.zip,
4,https://transtats.bts.gov/PREZIP/On_Time_Marketing_Carrier_On_Time_Performance_Beginning_January_2018_2025_4.zip,34062432,34062432,88b88ae1a9b49a03cb82c835481ac8dcf86ff2d378614655638889866767608f,88b88ae1a9b49a03cb82c835481ac8dcf86ff2d378614655638889866767608f,True,200,https://transtats.bts.gov/PREZIP/On_Time_Marketing_Carrier_On_Time_Performance_Beginning_January_2018_2025_4.zip,
5,https://transtats.bts.gov/PREZIP/On_Time_Marketing_Carrier_On_Time_Performance_Beginning_January_2018_2025_5.zip,35708775,35708775,261fb75b956abedca34a27db3ae7221437e1a2ce349b5ee9a49ec267d7555b29,261fb75b956abedca34a27db3ae7221437e1a2ce349b5ee9a49ec267d7555b29,True,200,https://transtats.bts.gov/PREZIP/On_Time_Marketing_Carrier_On_Time_Performance_Beginning_January_2018_2025_5.zip,
6,https://transtats.bts.gov/PREZIP/On_Time_Marketing_Carrier_On_Time_Performance_Beginning_January_2018_2025_6.zip,36074147,36074147,0cb4038a49962ab92cba33f9840a8eec9671ef19a5afeedfa27998984476b609,0cb4038a49962ab92cba33f9840a8eec9671ef19a5afeedfa27998984476b609,True,200,https://transtats.bts.gov/PREZIP/On_Time_Marketing_Carrier_On_Time_Performance_Beginning_January_2018_2025_6.zip,
7,https://transtats.bts.gov/PREZIP/On_Time_Marketing_Carrier_On_Time_Performance_Beginning_January_2018_2025_7.zip,37234575,37234575,4aa0c2b27f4f2cbd2d4ec9e2b6eddd323f6bc9148939200ed3526760e48355dd,4aa0c2b27f4f2cbd2d4ec9e2b6eddd323f6bc9148939200ed3526760e48355dd,True,200,https://transtats.bts.gov/PREZIP/On_Time_Marketing_Carrier_On_Time_Performance_Beginning_January_2018_2025_7.zip,
8,https://transtats.bts.gov/PREZIP/On_Time_Marketing_Carrier_On_Time_Performance_Beginning_January_2018_2025_8.zip,35785563,35785563,ecbf30c1fd69d43db430915daa90a109d8be981461fd13efcc43db0209ea108e,ecbf30c1fd69d43db430915daa90a109d8be981461fd13efcc43db0209ea108e,True,200,https://transtats.bts.gov/PREZIP/On_Time_Marketing_Carrier_On_Time_Performance_Beginning_January_2018_2025_8.zip,
9,https://transtats.bts.gov/PREZIP/On_Time_Marketing_Carrier_On_Time_Performance_Beginning_January_2018_2025_9.zip,32624136,32624136,852dee3ba0dc7ab124440eac58056e27744f79a73ed2c92b3f59dae3eef12d2e,852dee3ba0dc7ab124440eac58056e27744f79a73ed2c92b3f59dae3eef12d2e,True,200,https://transtats.bts.gov/PREZIP/On_Time_Marketing_Carrier_On_Time_Performance_Beginning_January_2018_2025_9.zip,
10,https://transtats.bts.gov/PREZIP/On_Time_Marketing_Carrier_On_Time_Performance_Beginning_January_2018_2025_10.zip,35550100,35550100,60e14dd57856474a351b77935f9e004f05d43aaa37e2c0411f05a6a303c8f3ec,60e14dd57856474a351b77935f9e004f05d43aaa37e2c0411f05a6a303c8f3ec,True,200,https://transtats.bts.gov/PREZIP/On_Time_Marketing_Carrier_On_Time_Performance_Beginning_January_2018_2025_10.zip,
11,https://transtats.bts.gov/PREZIP/On_Time_Marketing_Carrier_On_Time_Performance_Beginning_January_2018_2025_11.zip,33429487,33429487,858ba018a0f4bea73b140a4052586b492c3790300f5726851593ab3161d26eba,858ba018a0f4bea73b140a4052586b492c3790300f5726851593ab3161d26eba,True,200,https://transtats.bts.gov/PREZIP/On_Time_Marketing_Carrier_On_Time_Performance_Beginning_January_2018_2025_11.zip,
12,https://transtats.bts.gov/PREZIP/On_Time_Marketing_Carrier_On_Time_Performance_Beginning_January_2018_2025_12.zip,35337872,35337872,5597d2d99bc2c2ca92bad7837effe853cac07126e9447498db7bbfb25b834522,5597d2d99bc2c2ca92bad7837effe853cac07126e9447498db7bbfb25b834522,True,200,https://transtats.bts.gov/PREZIP/On_Time_Marketing_Carrier_On_Time_Performance_Beginning_January_2018_2025_12.zip,
