airport_id,origin_codes,months_present,all_12_months,observed_seq_count,all_seq_mapping_pass,station_ids,unique_station_count,spatial_qualified
10135,ABE,1|2|3|4|5|6|7|8|9|10|11|12,True,2,True,USW00014737,1,True
10136,ABI,1|2|3|4|5|6|7|8|9|10|11|12,True,2,True,USW00013962,1,True
10140,ABQ,1|2|3|4|5|6|7|8|9|10|11|12,True,2,True,USW00023050,1,True
10141,ABR,1|2|3|4|5|6|7|8|9|10|11|12,True,2,True,USW00014929,1,True
10146,ABY,1|2|3|4|5|6|7|8|9|10|11|12,True,1,True,USW00013869,1,True
10154,ACK,5|6|7|8|9|10,False,1,True,USW00014756,1,False
10155,ACT,1|2|3|4|5|6|7|8|9|10|11|12,True,2,True,USC00419417|USW00013959,2,True
10157,ACV,1|2|3|4|5|6|7|8|9|10|11|12,True,1,True,USW00024283,1,True
10158,ACY,1|2|3|4|5|6|7|8|9|10|11|12,True,2,True,USW00013753,1,True
10165,ADK,1|2|3|4|5|6|7|8|9|10|11|12,True,1,False,,0,False
10170,ADQ,1|2|3|4|5|6|7|8|9|10|11|12,True,1,True,USW00025501,1,True
10185,AEX,1|2|3|4|5|6|7|8|9|10|11|12,True,2,True,USW00013934,1,True
10208,AGS,1|2|3|4|5|6|7|8|9|10|11|12,True,1,True,USW00003820,1,True
10245,AKN,1|2|3|4|5|6|7|8|9|10|11|12,True,2,True,USW00025503,1,True
10257,ALB,1|2|3|4|5|6|7|8|9|10|11|12,True,2,True,USW00014735,1,True
10268,ALO,1|2|3|4|5|6|7|8|9|10|11|12,True,2,True,USW00094910,1,True
10275,ALW,1|2|3|4|5|6|7|8|9|10|11|12,True,1,True,USW00024160,1,True
10279,AMA,1|2|3|4|5|6|7|8|9|10|11|12,True,2,True,USC00410213,1,True
10299,ANC,1|2|3|4|5|6|7|8|9|10|11|12,True,1,True,USW00026451,1,True
10333,APN,1|2|3|4|5|6|7|8|9|10|11|12,True,1,True,USW00094849,1,True
10361,ART,1|2|3|4|5|6|7|8|9|10|11|12,True,1,True,USW00094790,1,True
10372,ASE,1|2|3|4|5|6|7|8|9|10|11|12,True,1,True,USW00093073,1,True
10397,ATL,1|2|3|4|5|6|7|8|9|10|11|12,True,2,True,USW00013874,1,True
10408,ATW,1|2|3|4|5|6|7|8|9|10|11|12,True,1,True,USW00004825,1,True
10409,ATY,8|9|10|11|12,False,1,True,USW00014946,1,False
10423,AUS,1|2|3|4|5|6|7|8|9|10|11|12,True,1,True,USW00013904,1,True
10431,AVL,1|2|3|4|5|6|7|8|9|10|11|12,True,1,True,USW00003812,1,True
10434,AVP,1|2|3|4|5|6|7|8|9|10|11|12,True,2,True,USW00014777,1,True
10466,AZA,1|2|3|4|5|6|7|8|9|10|11|12,True,2,True,USW00023104,1,True
10469,AZO,1|2|3|4|5|6|7|8|9|10|11|12,True,2,True,USW00094815,1,True
10529,BDL,1|2|3|4|5|6|7|8|9|10|11|12,True,1,True,USW00014740,1,True
10551,BET,1|2|3|4|5|6|7|8|9|10|11|12,True,1,True,USW00026615,1,True
10558,BFF,1|2|3|4|5|6|7|8|9|10|11|12,True,2,True,USW00024028,1,True
10561,BFL,1|2|3|4|5|6|7|8|9|10|11|12,True,2,True,USW00023155,1,True
10577,BGM,1|2|3|4|5|6|7|8|9|10|11|12,True,1,True,USW00004725,1,True
10581,BGR,1|2|3|4|5|6|7|8|9|10|11|12,True,1,True,USW00014601,1,True
10599,BHM,1|2|3|4|5|6|7|8|9|10|11|12,True,1,True,USW00013876,1,True
10617,BIH,1|2|3|4|6|7|8|9|10|12,False,1,True,USW00023157,1,False
10620,BIL,1|2|3|4|5|6|7|8|9|10|11|12,True,1,True,USW00024033,1,True
10627,BIS,1|2|3|4|5|6|7|8|9|10|11|12,True,2,True,USW00094071,1,True
10631,BJI,1|2|3|4|5|6|7|8|9|10|11|12,True,1,True,USW00014958,1,True
10666,BLI,1|2|3|4|5|6|7|8|9|10|11|12,True,1,True,USW00024217,1,True
10676,BLV,1|2|3|4|5|6|7|8|9|10|11|12,True,1,True,USW00013802,1,True
10685,BMI,1|2|3|4|5|6|7|8|9|10|11|12,True,2,True,USW00054831,1,True
10693,BNA,1|2|3|4|5|6|7|8|9|10|11|12,True,2,True,USW00013897,1,True
10713,BOI,1|2|3|4|5|6|7|8|9|10|11|12,True,1,True,USW00024131,1,True
10721,BOS,1|2|3|4|5|6|7|8|9|10|11|12,True,2,True,USW00014739,1,True
10728,BPT,1|2|3|4|5|6|7|8|9|10|11|12,True,2,True,USW00012917,1,True
10731,BQK,1|2|3|4|5|6|7|8|9|10|11|12,True,1,True,USW00053883,1,True
10732,BQN,1|2|3|4|5|6|7|8|9|10|11|12,True,1,False,,0,False
10739,BRD,1|2|3|4|5|6|7|8|9|10|11|12,True,1,True,USW00094938,1,True
10747,BRO,1|2|3|4|5|6|7|8|9|10|11|12,True,2,True,USI0000KBRO,1,True
10754,BRW,1|2|3|4|5|6|7|8|9|10|11|12,True,1,True,USW00027502,1,True
10779,BTM,1|2|3|4|5|6|7|8|9|10|11|12,True,2,True,USW00024135,1,True
10781,BTR,1|2|3|4|5|6|7|8|9|10|11|12,True,1,True,USW00013970,1,True
10785,BTV,1|2|3|4|5|6|7|8|9|10|11|12,True,2,True,USW00014742,1,True
10792,BUF,1|2|3|4|5|6|7|8|9|10|11|12,True,1,True,USW00014733,1,True
10800,BUR,1|2|3|4|5|6|7|8|9|10|11|12,True,1,True,USW00023152,1,True
10821,BWI,1|2|3|4|5|6|7|8|9|10|11|12,True,1,True,USW00093721,1,True
10849,BZN,1|2|3|4|5|6|7|8|9|10|11|12,True,1,True,USW00024132,1,True
10868,CAE,1|2|3|4|5|6|7|8|9|10|11|12,True,1,True,USW00013883,1,True
10874,CAK,1|2|3|4|5|6|7|8|9|10|11|12,True,2,True,USW00014895,1,True
10918,CDC,1|2|3|4|5|6|7|8|9|10|11|12,True,2,True,USW00093129,1,True
10926,CDV,1|2|3|4|5|6|7|8|9|10|11|12,True,1,True,USW00026410,1,True
10980,CHA,1|2|3|4|5|6|7|8|9|10|11|12,True,2,True,USW00013882,1,True
10990,CHO,1|2|3|4|5|6|7|8|9|10|11|12,True,1,True,USW00093736,1,True
10994,CHS,1|2|3|4|5|6|7|8|9|10|11|12,True,1,True,USW00013758,1,True
11003,CID,1|2|3|4|5|6|7|8|9|10|11|12,True,1,True,USW00014990,1,True
11013,CIU,1|2|3|4|5|6|7|8|9|10|11|12,True,2,False,,0,False
11027,CKB,1|2|3|4|5|6|7|8|9|10|11|12,True,1,True,USW00003802,1,True
11041,CLD,2|3|4|5|6|7|8|9|10|11|12,False,1,True,USW00003177,1,False
11042,CLE,1|2|3|4|5|6|7|8|9|10|11|12,True,2,True,USW00014820,1,True
11049,CLL,1|2|3|4|5|6|7|8|9|10|11|12,True,2,True,USW00003904,1,True
11057,CLT,1|2|3|4|5|6|7|8|9|10|11|12,True,2,True,USW00013881,1,True
11066,CMH,1|2|3|4|5|6|7|8|9|10|11|12,True,1,True,USW00014821,1,True
11067,CMI,1|2|3|4|5|6|7|8|9|10|11|12,True,2,True,USW00094870,1,True
11076,CMX,1|2|3|4|5|6|7|8|9|10|11|12,True,2,True,USW00014858,1,True
11097,COD,1|2|3|4|5|6|7|8|9|10|11|12,True,1,True,USW00024045,1,True
11109,COS,1|2|3|4|5|6|7|8|9|10|11|12,True,1,True,USW00093037,1,True
11111,COU,1|2|3|4|5|6|7|8|9|10|11|12,True,2,True,USW00003945,1,True
11122,CPR,1|2|3|4|5|6|7|8|9|10|11|12,True,1,True,USW00024089,1,True
11140,CRP,1|2|3|4|5|6|7|8|9|10|11|12,True,2,True,USW00012924,1,True
11146,CRW,1|2|3|4|5|6|7|8|9|10|11|12,True,1,True,USW00013866,1,True
11150,CSG,1|2|3|4|5|6|7|8|11|12,False,2,True,USW00093842,1,False
11193,CVG,1|2|3|4|5|6|7|8|9|10|11|12,True,1,True,USW00093814,1,True
11203,CWA,1|2|3|4|5|6|7|8|9|10|11|12,True,2,True,USW00094890,1,True
11233,CYS,1|2|3|4|5|6|7|8|9|10|11|12,True,2,True,USW00024018,1,True
11252,DAB,1|2|3|4|5|6|7|8|9|10|11|12,True,1,True,USW00012846,1,True
11259,DAL,1|2|3|4|5|6|7|8|9|10|11|12,True,2,True,USW00013960,1,True
11267,DAY,1|2|3|4|5|6|7|8|9|10|11|12,True,2,True,USW00093815,1,True
11278,DCA,1|2|3|4|5|6|7|8|9|10|11|12,True,1,True,USW00013751,1,True
11283,DDC,1|2|3|4|5|6|7|8|9|10|11|12,True,1,True,USW00013985,1,True
11288,DEC,1|2|3|4|5|6|7|8|9|10|11|12,True,1,True,USW00003887,1,True
11292,DEN,1|2|3|4|5|6|7|8|9|10|11|12,True,2,True,USW00003017,1,True
11298,DFW,1|2|3|4|5|6|7|8|9|10|11|12,True,1,True,USW00003927,1,True
11308,DHN,1|2|3|4|5|6|7|8|9|10|11|12,True,1,True,USW00013839,1,True
11315,DIK,1|2|3|4|5|6|7|8|9|10|11|12,True,1,True,USW00024012,1,True
11336,DLG,1|2|3|4|5|6|7|8|9|10|11|12,True,1,True,USW00025513,1,True
11337,DLH,1|2|3|4|5|6|7|8|9|10|11|12,True,2,True,USW00014913,1,True
11413,DRO,1|2|3|4|5|6|7|8|9|10|11|12,True,1,True,USW00093005,1,True
11423,DSM,1|2|3|4|5|6|7|8|9|10|11|12,True,2,True,USW00014933,1,True
11433,DTW,1|2|3|4|5|6|7|8|9|10|11|12,True,1,True,USW00094847,1,True
11447,DVL,1|2|3|4|5|6|7|8|9|10|11|12,True,1,True,USW00094928,1,True
11468,EAR,1|2|3|4|5|6|7|8|9|10|11|12,True,2,True,USW00014905,1,True
11470,EAT,1|2|3|4|5|6|7|8|9|10|11|12,True,1,True,USW00094239,1,True
11471,EAU,1|2|3|4|5|6|7|8|9|10|11|12,True,1,True,USW00014991,1,True
11481,ECP,1|2|3|4|5|6|7|8|9|10|11|12,True,1,True,USW00073805,1,True
11503,EGE,1|2|3|4|5|6|7|8|9|10|11|12,True,1,True,USW00023063,1,True
11525,EKO,1|2|3|4|5|6|7|8|9|10|11|12,True,1,True,USW00024121,1,True
11537,ELM,1|2|3|4|5|6|7|8|9|10|11|12,True,2,True,USW00014748,1,True
11540,ELP,1|2|3|4|5|6|7|8|9|10|11|12,True,2,True,USW00023044,1,True
11577,ERI,1|2|3|4|5|6|7|8|9|10|11|12,True,2,True,USW00014860,1,True
11587,ESC,1|2|3|4|5|6|7|8|9|10|11|12,True,1,True,USC00202627,1,True
11603,EUG,1|2|3|4|5|6|7|8|9|10|11|12,True,2,True,USW00024221,1,True
11612,EVV,1|2|3|4|5|6|7|8|9|10|11|12,True,2,True,USW00093817,1,True
11617,EWN,1|2|3|4|5|6|7|8|9|10|11|12,True,2,True,USW00093719,1,True
11618,EWR,1|2|3|4|5|6|7|8|9|10|11|12,True,2,True,USW00014734,1,True
11624,EYW,1|2|3|4|5|6|7|8|9|10|11|12,True,1,True,USW00012836,1,True
11630,FAI,1|2|3|4|5|6|7|8|9|10|11|12,True,2,True,USW00026411,1,True
11637,FAR,1|2|3|4|5|6|7|8|9|10|11|12,True,2,True,USW00014914,1,True
11638,FAT,1|2|3|4|5|6|7|8|9|10|11|12,True,1,True,USW00093193,1,True
