UNINUMBR,YEAR,CERT,BRNUM
10,2022,29950,679
10,2023,29950,679
10,2024,29950,679
100,2022,9846,3378
100,2023,9846,3378
100,2024,9846,3378
10000,2022,15749,0
10000,2023,15749,0
10000,2024,15749,0
10001,2022,57957,1529
10002,2022,15751,0
10002,2023,15751,0
10002,2024,15751,0
10003,2022,15752,0
10003,2023,15752,0
10003,2024,15752,0
10007,2022,15759,0
10007,2023,34719,6
10007,2024,34719,6
10008,2022,15760,0
10008,2023,15760,0
10008,2024,15760,0
10009,2022,10956,12
10009,2023,10956,12
10009,2024,10956,12
1001,2022,11236,20
10010,2022,15762,0
10010,2023,15762,0
10010,2024,15762,0
10011,2022,15763,0
10011,2023,15763,0
10011,2024,15763,0
10012,2022,3066,82
10012,2023,3066,82
10012,2024,3066,82
10013,2022,11063,944
10013,2023,11063,944
10013,2024,11063,944
10014,2022,15767,0
10014,2023,15767,0
10014,2024,15767,0
10015,2022,1852,13
10015,2023,1852,13
10015,2024,1852,13
10016,2022,9244,5
10016,2023,9244,5
10016,2024,9244,5
10017,2022,6548,1607
10017,2023,6548,1607
10017,2024,6548,1607
10018,2022,15771,0
10018,2023,15771,0
10018,2024,15771,0
10019,2022,15772,0
10019,2023,15772,0
10019,2024,15772,0
10021,2022,5496,49
10021,2023,5496,49
10021,2024,5496,49
10023,2022,15472,8
10023,2023,15472,8
10023,2024,15472,8
10025,2022,15778,0
10025,2023,15778,0
10025,2024,15778,0
10026,2022,15779,0
10026,2023,15779,0
10026,2024,15779,0
10027,2022,16151,1
10027,2023,16151,1
10027,2024,16151,1
10028,2022,17514,9
10028,2023,17514,9
10028,2024,17514,9
1003,2022,30788,260
1003,2023,30788,260
1003,2024,30788,260
10031,2022,15784,0
10031,2023,15784,0
10031,2024,15784,0
10034,2022,16958,32
10034,2023,16958,32
10034,2024,16958,32
10038,2022,15792,0
10038,2023,15792,0
10038,2024,15792,0
10039,2022,1365,3
10039,2023,1365,3
10039,2024,1365,3
1004,2022,11813,253
1004,2023,11813,253
1004,2024,11813,253
10040,2022,26340,5
10040,2023,26340,5
10040,2024,26340,5
10042,2022,6384,5075
10042,2023,6384,5075
10042,2024,6384,5075
10043,2022,15797,0
10043,2023,15797,0
10043,2024,15797,0
10044,2022,15799,0
10044,2023,15799,0
10044,2024,15799,0
10045,2022,3514,514
10045,2023,16571,1389
10045,2024,16571,1389
10046,2022,15801,0
10046,2023,15801,0
10046,2024,15801,0
10048,2022,5280,3
10048,2023,5280,3
10048,2024,5280,3
10049,2022,16571,560
10049,2023,16571,560
10049,2024,16571,560
1005,2022,17431,7
1005,2023,17431,7
1005,2024,17431,7
10050,2022,1528,43
10050,2023,1528,43
10050,2024,1528,43
10051,2022,3722,9
10051,2023,3722,9
10051,2024,3722,9
10052,2022,15808,0
10052,2023,15808,0
10052,2024,15808,0
10053,2022,15809,0
