PAIR_ID,CERT,STALPBR,CLASS,UNINUMBR,DEPSUMBR_2022,DEPSUMBR_2023,DEPSUMBR_2024,SHARE_2022,SHARE_2024,DELTA_LOG_SHARE
P000001,10044,WI,DECLINE,249661,17230,13858,14116,0.008103136990984966,0.006311091757175871,-0.2499425877998862
P000001,10044,WI,GAIN,221733,18809,17962,20763,0.008845728593350912,0.009282884539121749,0.04823763476609695
P000002,10044,WI,DECLINE,262169,28873,24737,25654,0.01357875068721468,0.01146959109794487,-0.1688068405692396
P000002,10044,WI,GAIN,207577,26887,30157,32155,0.0126447501031116,0.01437610905723931,0.1283256180946739
P000003,10044,WI,DECLINE,13631,126243,108692,112650,0.05937111567921736,0.05036444364167341,-0.164522397268572
P000003,10044,WI,GAIN,7861,47947,53763,56373,0.02254910675024702,0.02520368203650293,0.1112946432019427
P000004,10044,WI,DECLINE,8109,44939,43009,40148,0.0211344673962782,0.01794968205349227,-0.163332831739713
P000004,10044,WI,GAIN,233498,23714,24269,25905,0.01115251251330339,0.01158181014236618,0.03777096615780113
P000005,10044,WI,DECLINE,3596,121148,108564,108319,0.05697497621496499,0.04842810626562292,-0.1625318045228689
P000005,10044,WI,GAIN,6419,643614,755234,786465,0.3026867331001624,0.3516189273737122,0.1498496099584371
P000006,10044,WI,DECLINE,221732,78617,70220,70612,0.03697297276960331,0.0315697655963235,-0.1579873023822474
P000006,10044,WI,GAIN,270767,19424,19665,21011,0.009134958381479511,0.009393762320063916,0.02793725215675284
P000007,10044,WI,DECLINE,9543,60820,57723,54904,0.02860318002273393,0.02454691001955115,-0.1529319197159566
P000007,10044,WI,GAIN,475452,10543,12135,18242,0.004958292123967179,0.008155776128818522,0.4976650520900826
P000008,10044,WI,DECLINE,8237,28592,24526,26047,0.01344659854011852,0.01164529661371209,-0.143823803070345
P000008,10044,WI,GAIN,233497,7904,8089,8635,0.003717190642875518,0.003860603380788725,0.03785530808000365
P000009,1005,MI,DECLINE,221081,53008,47215,39264,0.02994781956280522,0.0226116111406413,-0.2809929777037385
P000009,1005,MI,GAIN,262578,46928,64510,67728,0.02651281460238688,0.0390036470897859,0.3860269708687732
P000010,1005,MI,DECLINE,579918,49291,42686,36945,0.02784783379999684,0.02127613013424492,-0.2691693890364651
P000010,1005,MI,GAIN,579917,37196,63266,60753,0.02101454679403304,0.03498683811194429,0.5097570344267706
P000011,1005,MI,DECLINE,187426,183790,165280,152870,0.1038354542229092,0.08803578328926841,-0.1650641151391396
P000011,1005,MI,GAIN,187428,85701,84064,96531,0.04841831580802842,0.05559090859355249,0.1381415054588122
P000012,1005,MI,DECLINE,6214,97163,89738,81508,0.05489397811992235,0.04693936432486223,-0.1565470062973752
P000012,1005,MI,GAIN,466289,31727,34990,36330,0.01792473723341989,0.0209219598802847,0.1546175921798387
P000013,1005,MI,DECLINE,187427,34116,29681,28811,0.019274445596979,0.01659186859650103,-0.1498674244674296
P000013,1005,MI,GAIN,557438,6539,6513,8323,0.003694325236213088,0.004793104103595088,0.2603803175101196
P000014,1005,MI,DECLINE,11090,52229,48306,44998,0.02950770955225162,0.02591374485805259,-0.1298780525168009
P000014,1005,MI,GAIN,602837,3059,5818,26814,0.001728236870710481,0.01544182307266595,2.189977873335903
P000015,1014,MI,DECLINE,187474,36597,21354,22109,0.01798719560565296,0.01037308187833059,-0.550445979694026
P000015,1014,MI,GAIN,187462,39842,38273,58080,0.01958209272127293,0.02724992516592521,0.3304352629545502
P000016,1014,MI,DECLINE,467994,47033,32300,29799,0.02311642404898423,0.01398106955956276,-0.5028391223943961
P000016,1014,MI,GAIN,187456,41265,38255,47001,0.02028148828229826,0.02205188933752842,0.08368971973241372
P000017,1014,MI,DECLINE,1039,96741,72330,67951,0.04754759379420372,0.0318811925783365,-0.3997149224372226
P000017,1014,MI,GAIN,187478,75399,82941,83928,0.03705813485997835,0.03937726789472746,0.06070080080029418
P000018,1014,MI,DECLINE,189870,56652,44939,40568,0.02784410212453075,0.01903365985074473,-0.3804121881618304
P000018,1014,MI,GAIN,612113,54567,68264,63648,0.02681933772204458,0.02986231468596432,0.1074741229433501
P000019,1014,MI,DECLINE,484901,44088,35106,34913,0.0216689750488299,0.01638045174445501,-0.2797928591965086
P000019,1014,MI,GAIN,612114,17704,35160,99244,0.008701404787345412,0.04656321579144423,1.677326386288269
P000020,1014,MI,DECLINE,458100,89579,77918,72151,0.04402751578432076,0.03385174501802117,-0.2628242476754798
P000020,1014,MI,GAIN,672,233615,256389,267009,0.114820304981682,0.1252750562780393,0.08714342917360642
P000021,1014,MI,DECLINE,4021,51227,46675,41994,0.02517774870319383,0.01970270932193291,-0.2452044611655515
P000021,1014,MI,GAIN,9340,240705,279232,301221,0.1183049954438532,0.1413266134367279,0.1778076219890411
P000022,10157,MI,DECLINE,441836,8834,7693,5387,0.02582391562355665,0.01733938457576928,-0.398320545587742
P000022,10157,MI,GAIN,228288,20567,21935,23908,0.06012230842536672,0.07695377880777649,0.2468240052828813
P000023,10157,MI,DECLINE,359383,37359,35175,30061,0.1092093800974024,0.0967587228015965,-0.1210464719476904
P000023,10157,MI,GAIN,481539,27708,29564,29294,0.08099717614868776,0.09428994463756921,0.1519602606239529
P000024,1022,WI,DECLINE,5543,49390,37460,35891,0.1499470221596136,0.132807643349812,-0.1213802553778973
P000024,1022,WI,GAIN,15621,28268,23958,25410,0.08582106544660775,0.09402474763920547,0.09129352599228829
P000025,1022,WI,DECLINE,187693,14369,11779,10754,0.04362398788037027,0.03979307894970546,-0.09191417837075981
P000025,1022,WI,GAIN,678,119499,106244,103271,0.3627965013373489,0.3821341878570794,0.05192974934385171
P000026,10248,ND,DECLINE,567188,69124,64661,51919,0.01836583302512828,0.01309897688763122,-0.3379579106528586
P000026,10248,ND,GAIN,264137,79878,91944,114117,0.02122310645190088,0.02879130848987484,0.3049830379333071
P000027,10248,ND,DECLINE,264125,70967,63466,59460,0.0188555070929674,0.01500154405397932,-0.2286518919620533
