state,eia_county_normalized,status,census_geoid
AK,ANCHORAGE,MATCH,02020
AK,DENALI,MATCH,02068
AK,FAIRBANKS NORTH STAR,MATCH,02090
AK,HAINES,MATCH,02100
AK,JUNEAU,MATCH,02110
AK,KENAI PENINSULA,MATCH,02122
AK,KETCHIKAN GATEWAY,MATCH,02130
AK,MATANUSKA SUSITNA,MATCH,02170
AK,PRINCE OF WALES KETCHIKAN,UNMATCHED,
AK,SKAGWAY HOONAH ANGOON,UNMATCHED,
AK,SOUTHEAST FAIRBANKS,MATCH,02240
AK,YUKON KOYUKUK,MATCH,02290
AL,AUTAUGA,MATCH,01001
AL,BALDWIN,MATCH,01003
AL,BARBOUR,MATCH,01005
AL,BIBB,MATCH,01007
AL,BLOUNT,MATCH,01009
AL,BULLOCK,MATCH,01011
AL,BUTLER,MATCH,01013
AL,CALHOUN,MATCH,01015
AL,CHAMBERS,MATCH,01017
AL,CHEROKEE,MATCH,01019
AL,CHILTON,MATCH,01021
AL,CHOCTAW,MATCH,01023
AL,CLARKE,MATCH,01025
AL,CLAY,MATCH,01027
AL,CLEBURNE,MATCH,01029
AL,COFFEE,MATCH,01031
AL,CONECUH,MATCH,01035
AL,COOSA,MATCH,01037
AL,COVINGTON,MATCH,01039
AL,CRENSHAW,MATCH,01041
AL,CULLMAN,MATCH,01043
AL,DALE,MATCH,01045
AL,DALLAS,MATCH,01047
AL,ELMORE,MATCH,01051
AL,ESCAMBIA,MATCH,01053
AL,ETOWAH,MATCH,01055
AL,FAYETTE,MATCH,01057
AL,FRANKLIN,MATCH,01059
AL,GENEVA,MATCH,01061
AL,GREENE,MATCH,01063
AL,HALE,MATCH,01065
AL,HENRY,MATCH,01067
AL,HOUSTON,MATCH,01069
AL,JACKSON,MATCH,01071
AL,JEFFERSON,MATCH,01073
AL,LAMAR,MATCH,01075
AL,LAWRENCE,MATCH,01079
AL,LEE,MATCH,01081
AL,LOWNDES,MATCH,01085
AL,MACON,MATCH,01087
AL,MADISON,MATCH,01089
AL,MARENGO,MATCH,01091
AL,MARION,MATCH,01093
AL,MARSHALL,MATCH,01095
AL,MOBILE,MATCH,01097
AL,MONROE,MATCH,01099
AL,MONTGOMERY,MATCH,01101
AL,MORGAN,MATCH,01103
AL,PERRY,MATCH,01105
AL,PICKENS,MATCH,01107
AL,PIKE,MATCH,01109
AL,RANDOLPH,MATCH,01111
AL,RUSSELL,MATCH,01113
AL,SHELBY,MATCH,01117
AL,ST CLAIR,UNMATCHED,
AL,SUMTER,MATCH,01119
AL,TALLADEGA,MATCH,01121
AL,TALLAPOOSA,MATCH,01123
AL,TUSCALOOSA,MATCH,01125
AL,WALKER,MATCH,01127
AL,WASHINGTON,MATCH,01129
AL,WILCOX,MATCH,01131
AL,WINSTON,MATCH,01133
AR,ARKANSAS,MATCH,05001
AR,ASHLEY,MATCH,05003
AR,BAXTER,MATCH,05005
AR,BENTON,MATCH,05007
AR,BOONE,MATCH,05009
AR,BRADLEY,MATCH,05011
AR,CALHOUN,MATCH,05013
AR,CARROLL,MATCH,05015
AR,CHICOT,MATCH,05017
AR,CLARK,MATCH,05019
AR,CLAY,MATCH,05021
AR,CLEBURNE,MATCH,05023
AR,CLEVELAND,MATCH,05025
AR,COLUMBIA,MATCH,05027
AR,CONWAY,MATCH,05029
