state,normalized_county,status
AS,EASTERN,EIA_UNMATCHED_DIAGNOSTIC
AS,MANU A,EIA_UNMATCHED_DIAGNOSTIC
AS,ROSE ISLAND,EIA_UNMATCHED_DIAGNOSTIC
AS,SWAINS ISLAND,EIA_UNMATCHED_DIAGNOSTIC
AS,WESTERN,EIA_UNMATCHED_DIAGNOSTIC
GU,GUAM,EIA_UNMATCHED_DIAGNOSTIC
MP,ROTA,EIA_UNMATCHED_DIAGNOSTIC
MP,SAIPAN,EIA_UNMATCHED_DIAGNOSTIC
MP,TINIAN,EIA_UNMATCHED_DIAGNOSTIC
PR,ADJUNTAS,EIA_UNMATCHED_DIAGNOSTIC
PR,AGUADA,EIA_UNMATCHED_DIAGNOSTIC
PR,AGUADILLA,EIA_UNMATCHED_DIAGNOSTIC
PR,AGUAS BUENAS,EIA_UNMATCHED_DIAGNOSTIC
PR,AIBONITO,EIA_UNMATCHED_DIAGNOSTIC
PR,ANASCO,EIA_UNMATCHED_DIAGNOSTIC
PR,ARECIBO,EIA_UNMATCHED_DIAGNOSTIC
PR,ARROYO,EIA_UNMATCHED_DIAGNOSTIC
PR,BARCELONETA,EIA_UNMATCHED_DIAGNOSTIC
PR,BARRANQUITAS,EIA_UNMATCHED_DIAGNOSTIC
PR,BAYAMON,EIA_UNMATCHED_DIAGNOSTIC
PR,CABO ROJO,EIA_UNMATCHED_DIAGNOSTIC
PR,CAGUAS,EIA_UNMATCHED_DIAGNOSTIC
PR,CAMUY,EIA_UNMATCHED_DIAGNOSTIC
PR,CANOVANAS,EIA_UNMATCHED_DIAGNOSTIC
PR,CAROLINA,EIA_UNMATCHED_DIAGNOSTIC
PR,CATANO,EIA_UNMATCHED_DIAGNOSTIC
PR,CAYEY,EIA_UNMATCHED_DIAGNOSTIC
PR,CEIBA,EIA_UNMATCHED_DIAGNOSTIC
PR,CIALES,EIA_UNMATCHED_DIAGNOSTIC
PR,CIDRA,EIA_UNMATCHED_DIAGNOSTIC
PR,COAMO,EIA_UNMATCHED_DIAGNOSTIC
PR,COMERIO,EIA_UNMATCHED_DIAGNOSTIC
PR,COROZAL,EIA_UNMATCHED_DIAGNOSTIC
PR,CULEBRA,EIA_UNMATCHED_DIAGNOSTIC
PR,DORADO,EIA_UNMATCHED_DIAGNOSTIC
PR,FAJARDO,EIA_UNMATCHED_DIAGNOSTIC
PR,FLORIDA,EIA_UNMATCHED_DIAGNOSTIC
PR,GUANICA,EIA_UNMATCHED_DIAGNOSTIC
PR,GUAYAMA,EIA_UNMATCHED_DIAGNOSTIC
PR,GUAYANILLA,EIA_UNMATCHED_DIAGNOSTIC
PR,GUAYNABO,EIA_UNMATCHED_DIAGNOSTIC
PR,GURABO,EIA_UNMATCHED_DIAGNOSTIC
PR,HATILLO,EIA_UNMATCHED_DIAGNOSTIC
PR,HORMIGUEROS,EIA_UNMATCHED_DIAGNOSTIC
PR,HUMACAO,EIA_UNMATCHED_DIAGNOSTIC
PR,ISABELA,EIA_UNMATCHED_DIAGNOSTIC
PR,JAYUYA,EIA_UNMATCHED_DIAGNOSTIC
PR,JUANA DIAZ,EIA_UNMATCHED_DIAGNOSTIC
PR,JUNCOS,EIA_UNMATCHED_DIAGNOSTIC
PR,LAJAS,EIA_UNMATCHED_DIAGNOSTIC
PR,LARES,EIA_UNMATCHED_DIAGNOSTIC
PR,LAS MARIAS,EIA_UNMATCHED_DIAGNOSTIC
PR,LAS PIEDRAS,EIA_UNMATCHED_DIAGNOSTIC
PR,LOIZA,EIA_UNMATCHED_DIAGNOSTIC
PR,LUQUILLO,EIA_UNMATCHED_DIAGNOSTIC
PR,MANATI,EIA_UNMATCHED_DIAGNOSTIC
PR,MARICAO,EIA_UNMATCHED_DIAGNOSTIC
PR,MAUNABO,EIA_UNMATCHED_DIAGNOSTIC
PR,MAYAGUEZ,EIA_UNMATCHED_DIAGNOSTIC
PR,MOCA,EIA_UNMATCHED_DIAGNOSTIC
PR,MOROVIS,EIA_UNMATCHED_DIAGNOSTIC
PR,NAGUABO,EIA_UNMATCHED_DIAGNOSTIC
PR,NARANJITO,EIA_UNMATCHED_DIAGNOSTIC
PR,OROCOVIS,EIA_UNMATCHED_DIAGNOSTIC
PR,PATILLAS,EIA_UNMATCHED_DIAGNOSTIC
PR,PENUELAS,EIA_UNMATCHED_DIAGNOSTIC
PR,PONCE,EIA_UNMATCHED_DIAGNOSTIC
PR,QUEBRADILLAS,EIA_UNMATCHED_DIAGNOSTIC
PR,RINCON,EIA_UNMATCHED_DIAGNOSTIC
PR,RIO GRANDE,EIA_UNMATCHED_DIAGNOSTIC
PR,SABANA GRANDE,EIA_UNMATCHED_DIAGNOSTIC
PR,SALINAS,EIA_UNMATCHED_DIAGNOSTIC
PR,SAN GERMAN,EIA_UNMATCHED_DIAGNOSTIC
PR,SAN JUAN,EIA_UNMATCHED_DIAGNOSTIC
PR,SAN LORENZO,EIA_UNMATCHED_DIAGNOSTIC
PR,SAN SEBASTIAN,EIA_UNMATCHED_DIAGNOSTIC
PR,SANTA ISABEL,EIA_UNMATCHED_DIAGNOSTIC
PR,TOA ALTA,EIA_UNMATCHED_DIAGNOSTIC
PR,TOA BAJA,EIA_UNMATCHED_DIAGNOSTIC
PR,TRUJILLO ALTO,EIA_UNMATCHED_DIAGNOSTIC
PR,UTUADO,EIA_UNMATCHED_DIAGNOSTIC
PR,VEGA ALTA,EIA_UNMATCHED_DIAGNOSTIC
PR,VEGA BAJA,EIA_UNMATCHED_DIAGNOSTIC
PR,VIEQUES,EIA_UNMATCHED_DIAGNOSTIC
PR,VILLALBA,EIA_UNMATCHED_DIAGNOSTIC
PR,YABUCOA,EIA_UNMATCHED_DIAGNOSTIC
PR,YAUCO,EIA_UNMATCHED_DIAGNOSTIC
VI,ST CROIX,EIA_UNMATCHED_DIAGNOSTIC
VI,ST JOHN,EIA_UNMATCHED_DIAGNOSTIC
VI,ST THOMAS,EIA_UNMATCHED_DIAGNOSTIC
