utility_id,state,eia_county_normalized,census_geoid,census_county_name,noaa_2024_event_records,noaa_event_key_present
84,MD,SOMERSET,24039,Somerset County,2,True
84,VA,ACCOMACK,51001,Accomack County,4,True
84,VA,NORTHAMPTON,51131,Northampton County,7,True
108,WI,ADAMS,55001,Adams County,5,True
108,WI,COLUMBIA,55021,Columbia County,13,True
108,WI,DANE,55025,Dane County,60,True
108,WI,DODGE,55027,Dodge County,15,True
108,WI,GREEN LAKE,55047,Green Lake County,3,True
108,WI,JEFFERSON,55055,Jefferson County,13,True
108,WI,MARQUETTE,55077,Marquette County,5,True
108,WI,PORTAGE,55097,Portage County,4,True
108,WI,SAUK,55111,Sauk County,8,True
108,WI,WAUPACA,55135,Waupaca County,6,True
108,WI,WAUSHARA,55137,Waushara County,2,True
108,WI,WOOD,55141,Wood County,12,True
155,MN,BIG STONE,27011,Big Stone County,11,True
155,MN,CHIPPEWA,27023,Chippewa County,5,True
155,MN,KANDIYOHI,27067,Kandiyohi County,13,True
155,MN,POPE,27121,Pope County,1,True
155,MN,STEVENS,27149,Stevens County,8,True
155,MN,SWIFT,27151,Swift County,4,True
162,SC,AIKEN,45003,Aiken County,17,True
162,SC,BARNWELL,45011,Barnwell County,0,False
162,SC,CALHOUN,45017,Calhoun County,12,True
162,SC,EDGEFIELD,45037,Edgefield County,11,True
162,SC,GREENWOOD,45047,Greenwood County,8,True
162,SC,LEXINGTON,45063,Lexington County,43,True
162,SC,MCCORMICK,45065,McCormick County,11,True
162,SC,ORANGEBURG,45075,Orangeburg County,49,True
162,SC,SALUDA,45081,Saluda County,11,True
207,CA,ALAMEDA,06001,Alameda County,33,True
213,AK,JUNEAU,02110,Juneau City and Borough,0,False
230,GA,DOUGHERTY,13095,Dougherty County,15,True
230,GA,LEE,13177,Lee County,11,True
232,NC,STANLY,37167,Stanly County,7,True
240,NC,CAMDEN,37029,Camden County,4,True
240,NC,CHOWAN,37041,Chowan County,3,True
240,NC,CURRITUCK,37053,Currituck County,16,True
240,NC,PASQUOTANK,37139,Pasquotank County,14,True
240,NC,PERQUIMANS,37143,Perquimans County,5,True
276,MS,ALCORN,28003,Alcorn County,2,True
295,MN,DOUGLAS,27041,Douglas County,9,True
296,KS,BARBER,20007,Barber County,18,True
296,KS,HARPER,20077,Harper County,9,True
296,OK,ALFALFA,40003,Alfalfa County,4,True
296,OK,GARFIELD,40047,Garfield County,48,True
296,OK,GRANT,40053,Grant County,6,True
296,OK,MAJOR,40093,Major County,16,True
296,OK,WOODS,40151,Woods County,9,True
305,MI,ALGER,26003,Alger County,8,True
305,MI,DELTA,26041,Delta County,6,True
305,MI,DICKINSON,26043,Dickinson County,8,True
305,MI,MARQUETTE,26103,Marquette County,19,True
305,MI,MENOMINEE,26109,Menominee County,1,True
305,MI,SCHOOLCRAFT,26153,Schoolcraft County,5,True
392,MI,ALCONA,26001,Alcona County,0,False
392,MI,ALPENA,26007,Alpena County,1,True
392,MI,MONTMORENCY,26119,Montmorency County,0,False
392,MI,PRESQUE ISLE,26141,Presque Isle County,0,False
407,GA,EMANUEL,13107,Emanuel County,1,True
407,GA,JOHNSON,13167,Johnson County,9,True
407,GA,LAURENS,13175,Laurens County,7,True
407,GA,MONTGOMERY,13209,Montgomery County,5,True
407,GA,TATTNALL,13267,Tattnall County,23,True
407,GA,TOOMBS,13279,Toombs County,2,True
407,GA,TREUTLEN,13283,Treutlen County,1,True
554,IA,STORY,19169,Story County,20,True
562,GA,BARTOW,13015,Bartow County,11,True
562,GA,CHEROKEE,13057,Cherokee County,36,True
562,GA,DAWSON,13085,Dawson County,4,True
562,GA,FANNIN,13111,Fannin County,12,True
562,GA,FORSYTH,13117,Forsyth County,0,False
562,GA,GILMER,13123,Gilmer County,6,True
