usgs_id,eligible,total_days,min_year_days,q10,q90
USGS-03086000,True,3653,365,8232.0,76480.00000000001
USGS-03114306,True,3652,364,8021.0,94080.00000000001
USGS-03216600,True,3648,360,18700.0,190000.0
USGS-03277200,True,3653,365,23200.0,262800.0000000002
USGS-03294500,True,3650,362,26090.000000000004,298000.0
USGS-03303280,True,3650,362,25790.000000000004,299000.0
USGS-03399800,True,3651,363,40300.0,470000.0
USGS-05378500,True,3633,345,15800.0,79900.0
USGS-05420500,True,3653,365,28100.0,126000.0
USGS-05474500,False,2730,122,,
USGS-05587450,True,3652,364,53500.0,266000.0
USGS-07010000,True,3653,365,91320.0,433000.0
USGS-07249455,True,3653,365,4782.0,118000.0
